instance_type,n,seed,algorithm,bins,lower_bound,ratio,time_ms,capacity,item_range
large_items,300,31,CAD,125,113,1.106195,187.1758,1000,250-500
large_items,300,32,FFD,126,113,1.115044,0.9879,1000,250-500
large_items,300,32,BFD,126,113,1.115044,0.8166,1000,250-500
large_items,300,32,CAD,125,113,1.106195,185.1956,1000,250-500
large_items,300,33,FFD,123,112,1.098214,0.7675,1000,250-500
large_items,300,33,BFD,123,112,1.098214,0.8454,1000,250-500
large_items,300,33,CAD,120,112,1.071429,184.33,1000,250-500
large_items,300,34,FFD,124,112,1.107143,0.8421,1000,250-500
large_items,300,34,BFD,124,112,1.107143,0.8161,1000,250-500
large_items,300,34,CAD,125,112,1.116071,206.1489,1000,250-500
large_items,300,35,FFD,126,113,1.115044,1.3834,1000,250-500
large_items,300,35,BFD,126,113,1.115044,0.9456,1000,250-500
large_items,300,35,CAD,125,113,1.106195,201.588,1000,250-500
large_items,300,36,FFD,124,112,1.107143,1.1826,1000,250-500
large_items,300,36,BFD,124,112,1.107143,0.9652,1000,250-500
large_items,300,36,CAD,125,112,1.116071,177.1927,1000,250-500
large_items,300,37,FFD,123,111,1.108108,0.898,1000,250-500
large_items,300,37,BFD,123,111,1.108108,0.8912,1000,250-500
large_items,300,37,CAD,123,111,1.108108,184.266,1000,250-500
large_items,300,38,FFD,126,112,1.125,0.7955,1000,250-500
large_items,300,38,BFD,126,112,1.125,0.809,1000,250-500
large_items,300,38,CAD,123,112,1.098214,171.666,1000,250-500
large_items,300,39,FFD,124,113,1.097345,0.8391,1000,250-500
large_items,300,39,BFD,124,113,1.097345,0.8397,1000,250-500
large_items,300,39,CAD,125,113,1.106195,216.2549,1000,250-500
large_items,300,40,FFD,125,113,1.106195,0.8077,1000,250-500
large_items,300,40,BFD,125,113,1.106195,0.8849,1000,250-500
large_items,300,40,CAD,124,113,1.097345,169.1262,1000,250-500
large_items,300,41,FFD,125,112,1.116071,0.8074,1000,250-500
large_items,300,41,BFD,125,112,1.116071,0.858,1000,250-500
large_items,300,41,CAD,125,112,1.116071,210.7915,1000,250-500
large_items,300,42,FFD,125,113,1.106195,0.8189,1000,250-500
large_items,300,42,BFD,125,113,1.106195,0.8399,1000,250-500
large_items,300,42,CAD,125,113,1.106195,184.5443,1000,250-500
large_items,300,43,FFD,125,112,1.116071,0.8078,1000,250-500
large_items,300,43,BFD,125,112,1.116071,0.8503,1000,250-500
large_items,300,43,CAD,124,112,1.107143,202.3097,1000,250-500
large_items,300,44,FFD,126,113,1.115044,0.8937,1000,250-500
large_items,300,44,BFD,126,113,1.115044,1.1794,1000,250-500
large_items,300,44,CAD,125,113,1.106195,190.7325,1000,250-500
large_items,300,45,FFD,127,115,1.104348,0.8309,1000,250-500
large_items,300,45,BFD,127,115,1.104348,0.8277,1000,250-500
large_items,300,45,CAD,128,115,1.113043,189.7544,1000,250-500
large_items,300,46,FFD,125,112,1.116071,0.8334,1000,250-500
large_items,300,46,BFD,125,112,1.116071,0.8353,1000,250-500
large_items,300,46,CAD,126,112,1.125,180.0888,1000,250-500
large_items,300,47,FFD,124,112,1.107143,0.7608,1000,250-500
large_items,300,47,BFD,124,112,1.107143,0.8279,1000,250-500
large_items,300,47,CAD,127,112,1.133929,196.6142,1000,250-500
large_items,300,48,FFD,124,112,1.107143,0.7877,1000,250-500
large_items,300,48,BFD,124,112,1.107143,0.7895,1000,250-500
large_items,300,48,CAD,125,112,1.116071,180.336,1000,250-500
